Name,Author,User Rating,Reviews,Price,Year,Genre
Why We Communication Revolution,Ibram X. Kendi,4.2,28676,21,2012,Non Fiction
Big Magic,Elizabeth Gilbert,4.4,23000,13,2015,Non Fiction
Last Girl in Summer,E.L. James,3.8,15648,9,2003,Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.9,120000,10,2001,Fiction
Leaders Eat Mindfulness Transformed,Mary Trump,4.3,37828,19,2003,Non Fiction
Fire and Fury,Michael Wolff,3.9,34000,17,2018,Non Fiction
The Power of Now,Eckhart Tolle,4.6,34829,12,2004,Non Fiction
Rage,Bob Woodward,4.1,23000,18,2020,Non Fiction
The Emperor of All Maladies,Siddhartha Mukherjee,4.6,11827,17,2010,Non Fiction
Shadow Dream of Ice,Naomi Alderman,4.6,29951,21,2004,Fiction
Atomic Focus,Mindy Kaling,4.1,10749,25,2020,Non Fiction
The Hard Thing About Growth,Kevin Hart,4.6,41215,8,2020,Non Fiction
Start with Growth,Rachel Hollis,4.6,3846,20,2005,Non Fiction
Leaders Eat Excellence,Don Miguel Ruiz,4.5,145555,18,2021,Non Fiction
The Art of Leadership,Ron Chernow,4.4,57849,19,2014,Non Fiction
The 7 Rules of Negotiation Decoded,Reed Hastings,4.1,8225,20,2019,Non Fiction
When Door of the Lost,Mohsin Hamid,4.0,39197,15,2009,Fiction
Think Thinking Decoded,Matthew McConaughey,4.0,5507,13,2011,Non Fiction
Flow: Growth,Matthew Walker,4.6,5625,9,2006,Non Fiction
Golden Woman,Lauren Groff,4.8,35020,25,2007,Fiction
The Book Thief,Markus Zusak,4.7,60979,11,2007,Fiction
Atomic Resilience,Rhonda Byrne,4.4,39933,21,2006,Non Fiction
The 7 Rules of Creativity,Eric Schmidt,4.6,22865,17,2016,Non Fiction
Mindset,Carol Dweck,4.6,56000,14,2008,Non Fiction
Eat Pray Love,Elizabeth Gilbert,4.2,45000,14,2006,Non Fiction
Peak: Communication,Barack Obama,4.3,51879,20,2004,Non Fiction
12 Rules for Discipline Simplified,Howard Schultz,4.8,82743,18,2007,Non Fiction
Deep Influence,Michelle Obama,4.3,5869,23,2019,Non Fiction
Why We Leadership,Eckhart Tolle,4.8,4192,17,2002,Non Fiction
David and Goliath,Malcolm Gladwell,4.4,28000,15,2013,Non Fiction
Hidden River,George Saunders,4.5,7722,15,2002,Fiction
Atomic Growth That Last,Jordan Peterson,4.6,5040,11,2012,Non Fiction
Before House of the World,James Dashner,4.6,180000,20,2002,Fiction
Broken Bridge,Jason Reynolds,4.1,9374,9,2013,Fiction
The Ocean,J.K. Rowling,4.4,11456,16,2006,Fiction
Verity,Colleen Hoover,4.5,98000,14,2018,Fiction
The Art of Focus,Mark Manson,4.8,53165,17,2005,Non Fiction
Can't Hurt Me,David Goggins,4.8,98000,14,2018,Non Fiction
Before Dream,Lee Child,3.9,6184,22,2014,Fiction
Is Everyone Hanging Out Without Me?,Mindy Kaling,4.3,23000,13,2011,Non Fiction
12 Rules for Success in Action,Yuval Noah Harari,4.5,9080,10,2015,Non Fiction
Mindset: Focus for Life,Sam Harris,3.8,9869,18,2012,Non Fiction
Drive: Purpose,Roxane Gay,4.2,180000,25,2009,Non Fiction
Forgotten Star,Dean Koontz,4.0,9821,10,2006,Fiction
Drive: Communication Unleashed,Michael Wolff,4.6,15213,10,2022,Non Fiction
Big Little Lies,Liane Moriarty,4.5,67234,14,2014,Fiction
Range: Leadership,Jon Krakauer,4.6,23080,24,2011,Non Fiction
Golden Mirror of the Heart,Veronica Roth,4.3,36224,12,2004,Fiction
The Art of Creativity,Ben Horowitz,3.6,9763,10,2013,Non Fiction
Little Bridge in Summer,Big Little Lies,4.4,7511,9,2001,Fiction
The Nightingale,Kristin Hannah,4.8,98271,15,2015,Fiction
First Window at Midnight,Delia Owens,4.6,6099,20,2016,Fiction
The Infinite Game,Simon Sinek,4.5,34000,16,2019,Non Fiction
Shadow Forest,Cassandra Clare,4.4,37262,17,2002,Fiction
Hidden Storm,Neil Gaiman,4.4,21314,21,2018,Fiction
First Star by the Sea,Rachel Hollis,4.5,24042,23,2002,Fiction
Golden Queen,Sarah J. Maas,4.7,30343,18,2015,Fiction
A Brief History of Time,Stephen Hawking,4.7,78000,14,2005,Non Fiction
Yes Please,Amy Poehler,4.2,23000,14,2014,Non Fiction
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6,98000,14,2017,Fiction
12 Rules for Life,Jordan Peterson,4.5,67000,16,2018,Non Fiction
When Boy,Erin Morgenstern,3.6,24266,9,2010,Fiction
When Castle,Harlan Coben,4.1,24785,17,2018,Fiction
Range: Growth,Patti Smith,4.1,21127,23,2001,Non Fiction
A Court of Wings and Ruin,Sarah J. Maas,4.6,98000,15,2017,Fiction
A Day,Fredrik Backman,4.5,119704,16,2014,Fiction
All the Mirror at Midnight,Marie Lu,4.6,26886,12,2002,Fiction
The Tipping Point,Malcolm Gladwell,4.5,51234,13,2006,Non Fiction
Midnight King Reborn,John Grisham,4.7,20577,21,2022,Fiction
Broken Woman of Shadows,Jason Reynolds,4.5,11897,23,2018,Fiction
The Secret of Mindfulness That Last,Siddhartha Mukherjee,4.2,15202,11,2014,Non Fiction
Grit,Angela Duckworth,4.5,34000,15,2016,Non Fiction
A House,Chimamanda Ngozi Adichie,3.8,88058,25,2015,Fiction
Good to Influence,Ta-Nehisi Coates,4.5,8489,23,2013,Non Fiction
Deep Communication Unleashed,Adam Grant,4.1,55647,14,2013,Non Fiction
Big Star of Dreams,Rick Riordan,4.6,85962,20,2018,Fiction
A Court of Thorns and Roses,Sarah J. Maas,4.5,145000,13,2015,Fiction
Built to Discipline,Oprah Winfrey,4.6,2272,14,2018,Non Fiction
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.7,88000,13,2005,Fiction
Built to Focus for Life,Stephen Hawking,4.5,1599,25,2015,Non Fiction
Book Lovers,Emily Henry,4.3,56000,15,2022,Fiction
Dare to Mindfulness Unleashed,Tim Ferriss,4.5,47401,23,2010,Non Fiction
How to Growth,Michio Kaku,4.5,5143,21,2004,Non Fiction
Forgotten Moon,Veronica Roth,3.8,22860,16,2010,Fiction
Last Window of Dreams,Dan Brown,4.8,127662,20,2015,Fiction
Beach Read,Emily Henry,4.3,67000,14,2020,Fiction
The Art of Negotiation Unleashed,Dave Ramsey,3.8,36489,18,2014,Non Fiction
The Infinite Communication Revolution,Daniel Kahneman,3.9,17185,8,2022,Non Fiction
Secret Girl,Harlan Coben,4.7,16012,25,2003,Fiction
Shadow Star at Midnight,Lauren Groff,3.5,10875,13,2014,Fiction
The Power of Discipline for Life,Eckhart Tolle,4.2,46390,24,2004,Non Fiction
Secret Sun of the Fallen,Min Jin Lee,4.0,118020,13,2020,Fiction
Outliers: Mindfulness,Rhonda Byrne,4.4,84593,19,2022,Non Fiction
Dark Window in the Dark,Marissa Meyer,4.2,17426,24,2002,Fiction
Confess,Colleen Hoover,4.4,43000,12,2015,Fiction
Last Wolf,Dav Pilkey,4.3,39731,21,2018,Fiction
Measure What Resilience,Oprah Winfrey,4.6,180000,14,2011,Non Fiction
Elon Musk,Ashlee Vance,4.6,27834,15,2015,Non Fiction
Caste,Isabel Wilkerson,4.6,45000,16,2020,Non Fiction
Angels and Demons,Dan Brown,4.4,87000,14,2004,Fiction
The 7 Habits of Highly Effective People,Stephen R. Covey,4.7,67834,13,2004,Non Fiction
Drive,Daniel H. Pink,4.4,23000,15,2009,Non Fiction
A Castle,Colson Whitehead,4.1,7279,20,2003,Fiction
12 Rules for Resilience Decoded,Rachel Maddow,4.0,140058,19,2005,Non Fiction
The 5 AM Focus,Brene Brown,4.4,91562,22,2005,Non Fiction
Man's Search for Meaning,Viktor Frankl,4.7,98000,10,2006,Non Fiction
Deep Habits,Adam Grant,4.6,93685,19,2006,Non Fiction
Secret Forest,Markus Zusak,4.7,7062,12,2007,Fiction
Rich Dad Poor Dad,Robert Kiyosaki,4.6,98000,11,2006,Non Fiction
The Courage to Learning Revolution,Dale Carnegie,4.5,180000,16,2012,Non Fiction
Light Clock in Winter,Brandon Sanderson,4.6,11815,24,2020,Fiction
The Hard Thing About Hard Things,Ben Horowitz,4.6,23000,17,2014,Non Fiction
Broken Bridge of Truth,Erin Morgenstern,4.7,120249,23,2014,Fiction
The Hard Thing About Negotiation Matters,James Clear,3.9,5306,11,2022,Non Fiction
Daisy Jones & The Six,Taylor Jenkins Reid,4.4,56000,15,2019,Fiction
How to Negotiation,Ray Dalio,4.0,25920,15,2004,Non Fiction
Outliers,Malcolm Gladwell,4.6,78234,14,2008,Non Fiction
Broken Clock,Kate Quinn,4.3,7787,10,2016,Fiction
Midnight River in the Woods,Ransom Riggs,4.5,19210,9,2007,Fiction
The Lean Startup,Eric Ries,4.5,34000,16,2011,Non Fiction
Homo Deus,Yuval Noah Harari,4.5,31289,16,2017,Non Fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.8,98000,10,2002,Fiction
Think Persuasion That Last,Atul Gawande,4.7,15384,19,2007,Non Fiction
Forgotten Moon in the Dark,Sarah J. Maas,4.7,106265,9,2012,Fiction
Becoming,Michelle Obama,4.7,61133,11,2019,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.5,34000,13,2015,Non Fiction
The 4-Hour Workweek,Tim Ferriss,4.4,45000,15,2007,Non Fiction
Deep Thinking Simplified,Tina Fey,4.4,8876,20,2008,Non Fiction
Atomic Habits,James Clear,4.8,125000,11,2018,Non Fiction
Last Mirror of the Heart,Veronica Roth,4.8,56246,16,2016,Fiction
Midnight Storm of Light,Tom Clancy,4.6,30436,20,2015,Fiction
From Zero to Mindfulness,Mark Manson,4.4,105579,25,2015,Non Fiction
Good to Great,Jim Collins,4.5,45000,16,2006,Non Fiction
First Forest,Colleen Hoover,4.1,2595,24,2001,Fiction
Light Tower,Sally Rooney,4.6,26526,8,2006,Fiction
Percy Jackson: Sea of Monsters,Rick Riordan,4.6,67000,11,2006,Fiction
The Power of Purpose,Barack Obama,4.4,135354,15,2022,Non Fiction
Start with Why,Simon Sinek,4.6,67000,14,2009,Non Fiction
The 5 AM Leadership,Joan Didion,4.1,25138,22,2010,Non Fiction
Shadow House of the World,Kate Quinn,4.4,44945,12,2014,Fiction
The Glass Castle,Jeannette Walls,4.7,76534,12,2005,Non Fiction
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8,92000,12,2006,Fiction
The Forest in the Woods,Becky Albertalli,4.7,3937,15,2016,Fiction
Where Woman,Nicola Yoon,4.5,9361,9,2010,Fiction
The Power of Growth,Nassim Nicholas Taleb,3.9,61259,25,2021,Non Fiction
Shadow Man,Tom Clancy,4.7,7039,17,2022,Fiction
Flow: Learning,Ta-Nehisi Coates,4.2,27893,15,2003,Non Fiction
The Goldfinch,Donna Tartt,4.0,26921,18,2013,Fiction
The Four Agreements,Don Miguel Ruiz,4.7,31829,11,2005,Non Fiction
12 Rules for Learning,Rachel Hollis,4.1,1000,10,2010,Non Fiction
Golden Window of Light,Naomi Alderman,4.4,11890,13,2003,Fiction
Range: Learning,Jordan Peterson,4.0,38266,13,2021,Non Fiction
Broken Tower of Lies,Sarah Dessen,4.4,6283,17,2011,Fiction
Tribe of Mentors,Tim Ferriss,4.3,23000,19,2017,Non Fiction
The Day,Markus Zusak,4.4,36168,19,2017,Fiction
Silent Storm of the World,Big Little Lies,4.6,13340,10,2004,Fiction
The Alchemist,Paulo Coelho,4.7,134000,12,2006,Fiction
The 48 Laws of Power,Robert Greene,4.6,56000,16,2009,Non Fiction
Before Storm of Truth,Margaret Atwood,4.3,56659,22,2004,Fiction
The Vanishing Half,Brit Bennett,4.4,67000,15,2020,Fiction
All the House of the Fallen,Diana Gabaldon,4.9,35793,9,2001,Fiction
Silent Ocean of the Lost,Sarah Dessen,4.7,7557,19,2021,Fiction
Silent Ocean,Margaret Atwood,4.4,20910,8,2002,Fiction
To Kill a Mockingbird,Harper Lee,4.8,167000,11,2015,Fiction
Inferno,Dan Brown,4.2,65000,16,2013,Fiction
When Breath Becomes Air,Paul Kalanithi,4.8,56722,14,2016,Non Fiction
Greenlights,Matthew McConaughey,4.5,56000,15,2020,Non Fiction
Atomic Influence,Eckhart Tolle,4.7,40401,12,2008,Non Fiction
After Boy,Brandon Sanderson,4.7,3661,22,2011,Fiction
Dare to Discipline,Jocko Willink,4.0,4031,16,2017,Non Fiction
How to Mastery,Yuval Noah Harari,3.9,4157,10,2007,Non Fiction
Lost Water,Suzanne Collins,4.7,12705,20,2007,Fiction
When Storm,Celeste Ng,4.3,55649,10,2022,Fiction
A Promised Land,Barack Obama,4.8,87000,18,2020,Non Fiction
Peak: Excellence,Yuval Noah Harari,4.2,8083,13,2008,Non Fiction
Flow: Creativity in Action,Will Smith,4.2,53420,10,2003,Non Fiction
The Mountain,Big Little Lies,4.1,68061,11,2008,Fiction
Into Thin Air,Jon Krakauer,4.6,28944,14,2004,Non Fiction
Drive: Excellence,Phil Knight,4.3,2159,11,2016,Non Fiction
Diary of a Wimpy Kid,Jeff Kinney,4.7,67000,10,2007,Fiction
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.6,47921,15,2017,Fiction
Good to Resilience,Bill Bryson,4.0,5771,19,2017,Non Fiction
All the Door in Summer,Diana Gabaldon,4.6,1927,8,2007,Fiction
White Fragility,Robin DiAngelo,4.0,56000,14,2018,Non Fiction
The Courage to Learning,Barack Obama,4.0,26600,15,2012,Non Fiction
Deep Leadership,Howard Schultz,4.4,21596,8,2019,Non Fiction
12 Rules for Focus,Brene Brown,4.9,7841,25,2010,Non Fiction
Grit: Focus Matters,Patti Smith,4.7,78137,20,2015,Non Fiction
12 Rules for Innovation,Jen Sincero,3.9,11283,24,2022,Non Fiction
Mindset: Success,Ronan Farrow,4.3,20767,10,2012,Non Fiction
Drive: Mastery,Adam Grant,4.8,8973,20,2020,Non Fiction
Educated: A Memoir,Tara Westover,4.8,38122,13,2018,Non Fiction
How to Win Friends and Influence People,Dale Carnegie,4.7,71238,11,2009,Non Fiction
The Boys in the Boat,Daniel James Brown,4.8,44829,14,2013,Non Fiction
Becoming Growth,Brene Brown,4.1,73688,17,2016,Non Fiction
The Infinite Success,Isabel Wilkerson,3.9,44459,19,2013,Non Fiction
Think Resilience,Dalai Lama,4.1,5633,9,2016,Non Fiction
Harry Potter and the Deathly Hallows,J.K. Rowling,4.8,110000,14,2007,Fiction
Big Night,Angie Thomas,4.3,99087,10,2017,Fiction
Little Dream in Winter,Stephen King,4.3,28925,15,2014,Fiction
Into the Wild,Jon Krakauer,4.5,45000,13,2007,Non Fiction
Light Castle,Min Jin Lee,4.0,88322,10,2007,Fiction
Golden Boy,Dav Pilkey,3.7,8096,10,2005,Fiction
November 9,Colleen Hoover,4.5,54000,13,2015,Fiction
Flow: Communication,Matthew McConaughey,3.9,14654,8,2001,Non Fiction
Little Garden,Rick Riordan,4.3,11995,10,2005,Fiction
Drive: Innovation,Nassim Nicholas Taleb,4.3,6092,24,2010,Non Fiction
The Hard Thing About Persuasion,Elizabeth Gilbert,4.2,85201,13,2004,Non Fiction
The Secret of Persuasion,Michio Kaku,4.4,5377,24,2002,Non Fiction
How to Habits,Erik Larson,4.2,44124,20,2015,Non Fiction
Secret Wolf,Chimamanda Ngozi Adichie,4.5,35036,23,2021,Fiction
Secret Storm of Shadows,Delia Owens,4.4,1000,15,2019,Fiction
The 5 AM Resilience Redefined,Sheryl Sandberg,4.6,13211,18,2018,Non Fiction
Big Garden of the Lost,Big Little Lies,4.4,7155,17,2020,Fiction
Leaders Eat Mastery Simplified,Ben Horowitz,4.3,14558,16,2018,Non Fiction
Where the Crawdads Sing,Delia Owens,4.8,87841,14,2019,Fiction
Light Window of Secrets,Jenny Han,4.5,3567,8,2011,Fiction
The Midnight Library,Matt Haig,4.3,87000,14,2020,Fiction
Silent Mirror,Liane Moriarty,3.8,18612,16,2015,Fiction
It Ends with Us,Colleen Hoover,4.6,134000,13,2016,Fiction
All the Door of Lies,Sarah J. Maas,4.7,3334,8,2005,Fiction
Last Door of the Lost,Viet Thanh Nguyen,4.4,10135,20,2016,Fiction
Why We Communication,Stephen R. Covey,4.7,11940,22,2011,Non Fiction
The Window,Heather Morris,4.2,3689,19,2006,Fiction
Range: Success,David Goggins,4.1,42938,10,2018,Non Fiction
From Zero to Thinking,Mindy Kaling,4.5,10275,10,2002,Non Fiction
The Help,Kathryn Stockett,4.8,87841,15,2011,Fiction
Ugly Love,Colleen Hoover,4.4,67000,12,2014,Fiction
The Secret of Resilience Matters,Simon Sinek,4.6,21864,23,2007,Non Fiction
The Subtle Art of Growth That Last,Isabel Wilkerson,4.7,54926,16,2007,Non Fiction
Dark Star,Sarah J. Maas,4.3,13602,21,2011,Fiction
Forgotten King,Sarah J. Maas,4.2,11583,20,2002,Fiction
Midnight Castle,Tara Westover,4.5,81741,12,2007,Fiction
Leaders Eat Last,Simon Sinek,4.6,45000,15,2014,Non Fiction
The Fault in Our Stars,John Green,4.7,113335,12,2012,Fiction
The Silent Patient,Alex Michaelides,4.3,87000,14,2019,Fiction
Project Hail Mary,Andy Weir,4.8,98000,15,2021,Fiction
Dare to Leadership,Michelle Obama,4.1,64410,21,2013,Non Fiction
The Subtle Art of Communication for Life,Rhonda Byrne,4.1,31440,22,2004,Non Fiction
Hidden Moon of Ice,Emily Henry,4.8,39050,13,2016,Fiction
The Maze Runner,James Dashner,4.6,67347,11,2014,Fiction
Shadow Night,Celeste Ng,4.7,18506,25,2007,Fiction
How to Focus Redefined,Matthew McConaughey,4.3,180000,17,2022,Non Fiction
All the Clock,R.J. Palacio,4.5,4817,13,2020,Fiction
The Bridge,Tomi Adeyemi,4.6,180000,10,2005,Fiction
Dark Water,M.L. Stedman,4.2,18778,23,2003,Fiction
Atomic Strategy Revolution,Simon Sinek,4.1,7345,11,2015,Non Fiction
First Storm,Diana Gabaldon,4.6,25426,17,2019,Fiction
Atomic Discipline Revolution,Bob Woodward,4.5,180000,18,2022,Non Fiction
1984,George Orwell,4.7,145000,10,2017,Fiction
Before Storm,Erin Morgenstern,4.0,39221,23,2020,Fiction
Throne of Glass,Sarah J. Maas,4.4,87000,12,2012,Fiction
When Woman by the Sea,Fredrik Backman,4.9,8032,11,2008,Fiction
Hidden Water,Liane Moriarty,4.6,3444,20,2005,Fiction
The Water of the Heart,Donna Tartt,4.6,10813,10,2007,Fiction
Percy Jackson: The Titan's Curse,Rick Riordan,4.7,56000,11,2007,Fiction
Drive: Focus,Mary Trump,4.2,4560,19,2007,Non Fiction
Golden King of Dreams,Veronica Roth,4.0,7751,22,2005,Fiction
Leaders Eat Strategy,Sam Harris,4.3,9234,12,2017,Non Fiction
Lost Ocean,Tom Clancy,4.5,43645,17,2006,Fiction
Girl Wash Your Face,Rachel Hollis,4.3,67000,14,2018,Non Fiction
The Da Vinci Code,Dan Brown,4.3,145000,15,2003,Fiction
Never Finished,David Goggins,4.8,34000,16,2022,Non Fiction
Becoming Negotiation,Jared Diamond,4.8,28062,9,2006,Non Fiction
The Girl on the Train,Paula Hawkins,4.1,87234,14,2015,Fiction
The Storm on the Hill,James Patterson,3.8,54438,20,2005,Fiction
The Art of Influence,Nassim Nicholas Taleb,3.6,127478,20,2012,Non Fiction
12 Rules for Focus Simplified,Matthew Walker,4.5,22422,17,2021,Non Fiction
Flow: Excellence in Action,Ray Dalio,4.4,45571,18,2001,Non Fiction
Good to Communication,Ray Dalio,3.9,50748,10,2016,Non Fiction
The Handmaid's Tale,Margaret Atwood,4.3,98271,14,2017,Fiction
Hidden Figures,Margot Lee Shetterly,4.7,27814,13,2016,Non Fiction
Percy Jackson: The Lightning Thief,Rick Riordan,4.7,87000,11,2005,Fiction
All the Light We Cannot See,Anthony Doerr,4.6,103921,15,2014,Fiction
Ninth House,Leigh Bardugo,4.3,34000,16,2019,Fiction
The Infinite Influence,Robert Kiyosaki,4.1,133832,22,2020,Non Fiction
Drive: Success Simplified,Amy Poehler,4.1,9889,14,2005,Non Fiction
The Secret of Thinking for Life,Satya Nadella,4.5,52195,19,2006,Non Fiction
Atomic Creativity,Rachel Maddow,4.7,2150,21,2012,Non Fiction
From Zero to Growth Unleashed,Jon Krakauer,4.9,11244,16,2010,Non Fiction
The Boy,Liane Moriarty,4.3,15952,22,2018,Fiction
A House on the Hill,Lois Lowry,4.5,1000,20,2017,Fiction
Hidden Bridge,Donna Tartt,4.4,6253,19,2013,Fiction
Mexican Gothic,Silvia Moreno-Garcia,4.1,34000,14,2020,Fiction
Born a Crime,Trevor Noah,4.8,55678,13,2016,Non Fiction
Being Mortal,Atul Gawande,4.7,25689,15,2014,Non Fiction
Ready Player One,Ernest Cline,4.6,76842,14,2011,Fiction
Little Fire of Shadows,Nicholas Sparks,4.7,83559,24,2009,Fiction
Silent Star,Dav Pilkey,4.1,21606,19,2005,Fiction
Dog Man,Dav Pilkey,4.9,45000,8,2016,Fiction
Built to Persuasion for Life,Rachel Maddow,4.6,21765,16,2004,Non Fiction
The Gifts of Imperfection,Brene Brown,4.7,34000,13,2010,Non Fiction
Last Castle by the Sea,Marie Lu,4.2,26882,16,2016,Fiction
The Infinite Learning,Rachel Hollis,4.1,2160,14,2022,Non Fiction
After Day,Janet Evanovich,4.8,42417,24,2018,Fiction
Golden Tower on the Hill,Naomi Alderman,4.3,5439,21,2007,Fiction
Malibu Rising,Taylor Jenkins Reid,4.3,34000,16,2021,Fiction
The Hard Thing About Habits That Last,Suze Orman,3.8,6340,13,2005,Non Fiction
The Secret,Rhonda Byrne,4.3,56000,12,2006,Non Fiction
Before River,Big Little Lies,4.3,60806,9,2011,Fiction
Grit: Habits,Gary Vaynerchuk,4.2,12754,13,2015,Non Fiction
The Hard Thing About Influence Redefined,Yuval Noah Harari,4.6,37875,10,2008,Non Fiction
